Фамилия Имя Отчество Дата рождения	Текущее подразделение 	Текущая должность	Дипранг
БАРАШКОВ СЕРГЕЙ НИКОЛАЕВИЧ 05.11.1953	ДЕПАРТАМЕНТ ГОСУДАРСТВЕННОГО ПРОТОКОЛА 02.06.1994 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 08.05.1997
БАРИНОВА НАДЕЖДА МИХАЙЛОВНА 10.04.1955	ИСТОРИКО-ДОКУМЕНТАЛЬНЫЙ ДЕПАРТАМЕНТ 02.08.2004 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 17.01.2011
БАРКОВСКИЙ ЛЕОНИД АНАТОЛЬЕВИЧ	ПОСОЛЬСТВО РОССИИ В ИОРДАНИИ	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 04.02.2013
БАРСКИЙ КИРИЛЛ МИХАЙЛОВИЧ 22.11.1964	ГРУППА ПОСЛОВ ПО ОСОБЫМ ПОРУЧЕНИЯМ МИД РФ 20.06.2011 	ПОСОЛ ПО ОСОБЫМ ПОРУЧЕНИЯМ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 11.02.2008
БАРСУКОВ СЕРГЕЙ АЛЕКСАНДРОВИЧ	ГЕНКОНСУЛЬСТВО РОССИИ В ОШЕ, КИРГИЗСКАЯ РЕСПУБЛИКА	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 17.09.2012
БАХАРЕВ СЕРГЕЙ ВИКТОРОВИЧ	ДЕПАРТАМЕНТ АФРИКИ	ЗАМ. ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 16.07.2012
БЕЛЕВИЧ ЕЛЕНА ВЛАДИМИРОВНА 09.03.1946	ПРЕД-ВО МИД РОССИИ В САНКТ-ПЕТЕРБУРГЕ 01.02.2010 	ЭКСПЕРТ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 08.07.2004
БЕЛОУС ВЛАДИМИР АЛЕКСАНДРОВИЧ 01.10.1952	ДЕПАРТАМЕНТ ИНФОРМАЦИОННОГО ОБЕСПЕЧЕНИЯ 17.10.2011 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 17.06.2008
БЕЛЯЕВ СЕРГЕЙ СЕРГЕЕВИЧ 25.01.1965	ВТОРОЙ ЕВРОПЕЙСКИЙ ДЕПАРТАМЕНТ 01.11.2010 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 23.04.2008
БИБИШЕВ АНДРЕЙ АЛЕКСАНДРОВИЧ	ПОСОЛЬСТВО РОССИИ В НИКАРАГУА	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 07.11.2012
