Фамилия Имя Отчество Дата рождения	Текущее подразделение 	Текущая должность	Дипранг
ДЕЙНЕКО АЛЕКСАНДР МИХАЙЛОВИЧ	ДЕПАРТАМЕНТ ПО ВОПРОСАМ БЕЗОПАСНОСТИ И РАЗОРУЖЕНИЯ	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 04.02.2013
ДЕМИДОВ АНДРЕЙ ВЛАДИМИРОВИЧ 22.02.1955	ГЕНКОНСУЛЬСТВО РОССИИ В КАРАЧИ, ПАКИСТАН 26.01.2010 25.01.2013	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 28.09.1999
ДЕМИДОВ ИГОРЬ ВЯЧЕСЛАВОВИЧ 11.11.1952	ДЕПАРТАМЕНТ ИНФОРМАЦИИ И ПЕЧАТИ 15.08.2007 	НАЧАЛЬНИК ОТДЕЛА В ДЕПАРТАМЕНТЕ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 23.08.2005
ДЕМИН АЛЕКСЕЙ МИХАЙЛОВИЧ 24.02.1959	ПОСОЛЬСТВО РОССИИ В ТУРКМЕНИСТАНЕ 16.09.2005 15.03.2012	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 13.09.2010
ДЕМИН ВИКТОР НИКОЛАЕВИЧ 06.11.1947	ДЕП-Т ПО РАБОТЕ С СООТЕЧЕСТВЕННИКАМИ ЗА РУБЕЖОМ 10.10.2011 	НАЧАЛЬНИК ОТДЕЛА В ДЕПАРТАМЕНТЕ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 28.11.2007
ДЕРГАЧЕВ ВАЛЕРИЙ ВЛАДИМИРОВИЧ 07.04.1953	ПЕРВЫЙ ДЕПАРТАМЕНТ СТРАН СНГ 16.05.2011 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 15.01.2002
ДОГАДКИН ДМИТРИЙ НИКОЛАЕВИЧ	ПОСОЛЬСТВО РОССИИ В СИРИИ	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 04.02.2013
ДУДКА АЛЕКСАНДР ИВАНОВИЧ 30.04.1958	РОТАЦИОННЫЙ РЕЗЕРВ 10.08.2009 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 13.09.2010
ЕВДОКИМОВ ИГОРЬ ДМИТРИЕВИЧ 12.05.1956	ДЕПАРТАМЕНТ ИНФОРМАЦИИ И ПЕЧАТИ 12.01.2009 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 25.12.2006
ЕВДОКИМОВ МИХАИЛ НИКОЛАЕВИЧ 03.08.1959	ПЕРВЫЙ ДЕПАРТАМЕНТ СТРАН СНГ 23.05.2011 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 20.08.2004
ЕВДОКИМОВ МИХАИЛ ПЕТРОВИЧ 07.09.1957	ДЕПАРТАМЕНТ ИНФОРМАЦИИ И ПЕЧАТИ 16.05.2008 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 18.07.2007
ЕВДОКИМОВ МИХАИЛ СЕРГЕЕВИЧ 28.08.1955	ЛАТИНОАМЕРИКАНСКИЙ ДЕПАРТАМЕНТ 27.06.2011 	НАЧАЛЬНИК ОТДЕЛА В ДЕПАРТАМЕНТЕ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 13.09.2010
ЕВСИКОВ АЛЕКСЕЙ НИКОЛАЕВИЧ	ПЕРВЫЙ ДЕПАРТАМЕНТ АЗИИ	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 01.05.2012       
ЕГОРОВ АЛЕКСАНДР ВАЛЕНТИНОВИЧ 18.05.1951	ПОСОЛЬСТВО РОССИИ В АЛЖИРЕ 15.02.2007 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 29.12.2005
ЕГОРОВ АЛЕКСАНДР РЭМОВИЧ 29.05.1963	ГЕНСЕКРЕТАРИАТ (ДЕПАРТАМЕНТ) 18.08.2011 	ГЛАВНЫЙ СОВЕТНИК ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 17.01.2011
ЕРМОЛОВ ВАЛЕРИЙ НИКОЛАЕВИЧ 06.02.1951	ДЕПАРТАМЕНТ КАДРОВ 15.06.2011 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 18.10.1993
ЕГОРОВ ЕВГЕНИЙ НИКОЛАЕВИЧ 	ПОСОЛЬСТВО РОССИИ В МАКЕДОНИИ	СОВЕТНИК–ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 04.11.2011
ЕФИМОВ АЛЕКСАНДР ВЛАДИМИРОВИЧ 27.05.1958	ДЕПАРТАМЕНТ БЛИЖНЕГО ВОСТОКА И СЕВЕРНОЙ АФРИКИ 11.01.2010 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 18.07.2007
ЖИЛКО БОРИС АНАТОЛЬЕВИЧ 18.09.1955	ПЕРВЫЙ ЕВРОПЕЙСКИЙ ДЕПАРТАМЕНТ 27.04.2011 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 23.04.2008
ЗАВЬЯЛОВ ВИКТОР АЛЕКСЕЕВИЧ 21.04.1949	ГЕНКОНСУЛЬСТВО В АЛМА-АТЕ, РЕСПУБЛИКА КАЗАХСТАН 28.05.2011 28.05.2012	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 08.08.2000
ЗАГРЕКОВ ВИКТОР ИВАНОВИЧ 24.10.1953	ДЕПАРТАМЕНТ МЕЖДУНАРОДНЫХ ОРГАНИЗАЦИЙ 06.06.2011 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 24.10.2007
ЗОЛОТОВ АЛЕКСАНДР ЮРЬЕВИЧ 17.09.1959	ДЕПАРТАМЕНТ БЛИЖНЕГО ВОСТОКА И СЕВЕРНОЙ АФРИКИ 20.10.2008 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 28.06.2006
ЗУБОВ МИХАИЛ ГРИГОРЬЕВИЧ27.06.1955	ПОСОЛЬСТВО РОССИИ В НОРВЕГИИ10.2009	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 10.02.2012
ЗУЕВ ГЕОРГИЙ ВИКТОРОВИЧ 26.12.1958	ДЕПАРТАМЕНТ КАДРОВ 24.11.2005 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 25.08.2004
ИВАНЦОВ ПЕТР АНАТОЛЬЕВИЧ 03.05.1953	ЧЕТВЕРТЫЙ ЕВРОПЕЙСКИЙ ДЕП. 24.12.2009 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 17.09.1998
ИОСИФОВ ВЛАДИМИР АЛЕКСЕЕВИЧ 17.09.1948	РОТАЦИОННЫЙ РЕЗЕРВ 19.01.2009 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 31.07.2008
ИСАКОВ АЛЕКСЕЙ ВИКТОРОВИЧ 01.05.1960	ГЕНКОНСУЛЬСТВО РОССИИ В МОНРЕАЛЕ, КАНАДА 09.12.2008 08.12.2011	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 28.04.2011
ИСКАНДАРОВ ИЛЬЯС ФАРХАДОВИЧ 20.10.1965	ДЕПАРТАМЕНТ БЛИЖНЕГО ВОСТОКА И СЕВЕРНОЙ АФРИКИ 01.08.2011 	НАЧАЛЬНИК ОТДЕЛА В ДЕПАРТАМЕНТЕ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 22.11.2010
КАДЫШЕВ ЛЕОНИД ЮРЬЕВИЧ 24.05.1959	ПОСОЛЬСТВО РОССИИ ВО ФРАНЦИИ 02.09.2010 01.09.2013	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 21.02.2011
КАЗАКОВ ЮРИЙ ВИКТОРОВИЧ 10.03.1959	ПОСОЛЬСТВО РОССИИ НА КИПРЕ 06.07.2010 05.07.2013	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 17.01.2011
КАЗИМИРОВ ДМИТРИЙ ВЛАДИМИРОВИЧ 03.12.1955	РОТАЦИОННЫЙ РЕЗЕРВ 02.02.2009 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 13.09.2005
КАЛАБУХОВ ИГОРЬ АНДРЕЕВИЧ 13.03.1961	ЧЕТВЕРТЫЙ ЕВРОПЕЙСКИЙ ДЕП. 06.09.2010 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 20.11.2007
КАМЕНЕВ КОНСТАНТИН СЕРГЕЕВИЧ 14.05.1956			ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 31.07.2008
КАПИНОС СЕРГЕЙ ПЕТРОВИЧ 19.11.1956	ПОСОЛЬСТВО РОССИИ В АРМЕНИИ 01.10.2007 30.09.2011	СОВЕТНИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 04.11.2003
КАПКО АНАТОЛИЙ СТЕПАНОВИЧ 29.10.1946	ГЕНКОНСУЛЬСТВО РОССИИ В САН-ПАУЛУ, БРАЗИЛИЯ 04.06.2007 29.10.2011	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 12.03.2003
КАПЫРИН ИГОРЬ НИКОЛАЕВИЧ 23.02.1962	ПОСТПРЕДСТВО РОССИИ ПРИ СОВЕТЕ ЕВРОПЫ В СТРАСБУРГЕ 21.04.2007 20.04.2012	ЗАМ. ПОСТ. ПРЕДСТАВИТЕЛЯ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 07.07.2007
КАРАЧЕВЦЕВ АЛЕКСАНДР ПАВЛОВИЧ 28.12.1953	РОТАЦИОННЫЙ РЕЗЕРВ 22.01.2010 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 01.02.2006
КАРЕВ СЕРГЕЙ НИКОЛАЕВИЧ 18.10.1947	ПОСТПРЕДСТВО РОССИИ ПРИ ООН, США 02.04.2010 18.10.2011	ЗАМ. ПОСТ. ПРЕДСТАВИТЕЛЯ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 24.01.1994
КИНЩАК АЛЕКСАНДР АЛЕКСАНДРОВИЧ 20.10.1962	ПОСОЛЬСТВО РОССИИ В КУВЕЙТЕ 04.03.2008 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 08.07.2004
КЛИМЕНКО ЮРИЙ НИКОЛАЕВИЧ 04.09.1959	ПЕРВЫЙ ЕВРОПЕЙСКИЙ ДЕПАРТАМЕНТ 20.09.2004 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 25.07.2003
КЛИМОВ АЛЕКСЕЙ ВЛАДИМИРОВИЧ 06.05.1959	КОНСУЛЬСКИЙ ДЕПАРТАМЕНТ 02.06.2005 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 24.01.2008
КЛИМОВСКИЙ КОНСТАНТИН ВЯЧЕСЛАВОВИЧ 16.06.1966	ПОСОЛЬСТВО РОССИИ В ТУНИСЕ 05.09.2011 04.09.2014	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 08.12.2009
КОБРИНЕЦ НИКОЛАЙ СЕРГЕЕВИЧ 21.12.1961	ДЕП. ОБЩЕЕВРОПЕЙСКОГО СОТРУДНИЧЕСТВА 11.05.2011 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 31.07.2008
КОЖАНОВ КОНСТАНТИН ПЕТРОВИЧ 17.11.1960	ГЕНСЕКРЕТАРИАТ (ДЕПАРТАМЕНТ) 26.03.2007 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 01.06.2009
КОЖИН АЛЕКСАНДР БОРИСОВИЧ 05.06.1949	ДЕПАРТАМЕНТ КАДРОВ 25.07.2011 	ГЛАВНЫЙ СОВЕТНИК ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 20.11.2007
КОЛЕСНИКОВ ЮРИЙ АЛЕКСАНДРОВИЧ	ПОСТПРЕДСТВО РОССИИ ПРИ ЮНЕСКО В ПАРИЖЕ, ФРАНЦИЯ	ЗАМЕСТИТЕЛЬ ПОСТПРЕДА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 04.11.2011
КОЛОМБЕТ МИХАИЛ ВАСИЛЬЕВИЧ 12.06.1952	ДЕП-Т ПО РАБОТЕ С СООТЕЧЕСТВЕННИКАМИ ЗА РУБЕЖОМ 26.09.2011 	НАЧАЛЬНИК ОТДЕЛА В ДЕПАРТАМЕНТЕ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 08.12.2009
КОПНИН АЛЕКСАНДР АНАТОЛЬЕВИЧ	ГЕНКОНСУЛЬСТВО РОССИИ В ХОДЖЕНТЕ, ТАДЖИКИСТАН	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 14.12.2012
КОПЫРКИН СЕРГЕЙ ПАВЛОВИЧ 14.12.1962	ПОСТПРЕДСТВО РОССИИ ПРИ ЕС И ЕВРАТОМ 18.07.2011 17.07.2014	ЗАМ. ПОСТ. ПРЕДСТАВИТЕЛЯ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 13.04.2009
КОРЕПАНОВ ДМИТРИЙ ГЕНИЕВИЧ21.07.1959	ПОСОЛЬСТВО РОССИИ В КОНГО (КИНШАСА)09.2009	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 10.02.2012
КОРОНЕЛЛИ ВИКТОР ВИКТОРОВИЧ 09.02.1958	ПОСОЛЬСТВО РОССИИ В АРГЕНТИНЕ 21.07.2011 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 24.10.2007
КОРОТКОВ ВЛАДИМИР ЛЬВОВИЧ 16.02.1950	ГЕНКОНСУЛЬСТВО РОССИИ В ПАЛЕРМО, ИТАЛИЯ 20.08.2011 19.08.2014	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 18.04.2005
КОРУНОВА МАРИНА ОЛЕГОВНА 02.04.1962	ДЕП. ПО ГУМ. СОТРУДНИЧЕСТВУ И ПРАВАМ ЧЕЛ. 02.08.2004 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 21.02.2011
КОРЧУНОВ НИКОЛАЙ ВИКТОРОВИЧ 	ПОСТПРЕДСТВО РОССИИ ПРИ НАТО	ЗАМ. ПОСТ. ПРЕДСТАВИТЕЛЯ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 10.02.2012
КОСТЮНИН КОНСТАНТИН НИКОЛАЕВИЧ 17.08.1946	ГЕНСЕКРЕТАРИАТ (ДЕПАРТАМЕНТ) 18.08.2011 	ЭКСПЕРТ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 06.01.1999
КОТЕЛЬНИКОВ ЮРИЙ МИХАЙЛОВИЧ 10.12.1947			ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 18.07.2007
КРАСНИЦКИЙ ОЛЕГ ЮЗЕФОВИЧ 22.10.1963	ПОСОЛЬСТВО РОССИИ В ФРГ 25.07.2011 24.07.2014	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 06.03.2007
КРАСНОГОР СЕРГЕЙ АЛЕКСЕЕВИЧ 23.08.1947	ГЕНКОНСУЛЬСТВО РОССИИ В ДУБАЕ, ОАЭ 20.12.2006 25.12.2011	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 08.07.2004
КРЕМНЕВ ИГОРЬ АЛЕКСАНДРОВИЧ 15.05.1963	ДЕПАРТАМЕНТ БЛИЖНЕГО ВОСТОКА И СЕВЕРНОЙ АФРИКИ 18.01.2010 	НАЧАЛЬНИК ОТДЕЛА В ДЕПАРТАМЕНТЕ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 01.06.2009
КРЕСТЬЯНОВ АЛЕКСАНДР ВЛАДИМИРОВИЧ 18.02.1954	ПОСТПРЕДСТВО РОССИИ ПРИ ЕС И ЕВРАТОМ 21.07.2008 20.07.2012	ЗАМ. ПОСТ. ПРЕДСТАВИТЕЛЯ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 11.01.2000
КРОТКОВ АНАТОЛИЙ ИВАНОВИЧ 15.08.1948	ГЕНКОНСУЛЬСТВО РОССИИ В КЛАЙПЕДЕ, ЛИТВА 01.04.2008 31.03.2012	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 12.07.2010
КРОХИН ОЛЕГ АЛЕКСАНДРОВИЧ 11.05.1949	ПОСОЛЬСТВО РОССИИ В АЗЕРБАЙДЖАНЕ 15.02.2007 11.05.2012	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 11.03.2009
КРУТИКОВ СЕРГЕЙ КОНСТАНТИНОВИЧ 21.09.1951	ГЕНКОНСУЛЬСТВО РОССИИ В ЭДИНБУРГЕ, ВЕЛИКОБРИТАНИЯ 16.07.2009 15.07.2012	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 28.06.2006
КРУТСКИХ АНДРЕЙ ВЛАДИМИРОВИЧ 30.08.1951	ДЕПАРТАМЕНТ ПО ВОПРОСАМ НОВЫХ ВЫЗОВОВ И УГРОЗ 31.08.2011 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 17.11.2009
КРУТЬКО АНДРЕЙ АНДРЕЕВИЧ 24.08.1957	ЧЕТВЕРТЫЙ ДЕПАРТАМЕНТ СТРАН СНГ 01.10.2007 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 30.03.2006
КУДАШЕВ НИКОЛАЙ РИШАТОВИЧ 26.01.1958	ПОСОЛЬСТВО РОССИИ НА ФИЛИППИНАХ 27.08.2010 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 25.12.2006
КУДОЯРОВ АРТЁМ ТАМЕРЛАНОВИЧ 31.07.1960	ПОСОЛЬСТВО РОССИИ НА ФИЛИППИНАХ 29.07.2011 28.07.2014	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 17.11.2009
КУЗНЕЦОВ СЕРГЕЙ НИКОЛАЕВИЧ 21.02.1953	ГЕНКОНСУЛЬСТВО РОССИИ В ДЖИДДЕ, САУДОВСКАЯ АРАВИЯ 24.11.2007 23.11.2012	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 03.03.2010
КУРАКОВ ДМИТРИЙ ВИКТОРОВИЧ 13.09.1961	ДЕПАРТАМЕНТ ПО ВОПРОСАМ НОВЫХ ВЫЗОВОВ И УГРОЗ 31.01.2011 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 01.06.2009
КУРДЮМОВ БОРИС ГЕОРГИЕВИЧ 08.08.1950	ПОСОЛЬСТВО РОССИИ В КАБО-ВЕРДЕ 14.01.2011 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 02.04.2003
КУРИН СЕРГЕЙ КОНСТАНТИНОВИЧ 11.01.1953	ЛАТИНОАМЕРИКАНСКИЙ ДЕПАРТАМЕНТ 23.11.2009 	НАЧАЛЬНИК ОТДЕЛА В ДЕПАРТАМЕНТЕ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 24.04.2003
КУРМАЗ АЛЕКСАНДР СЕРГЕЕВИЧ	ДЕПАРТАМЕНТ ОБЩЕЕВРОПЕЙСКОГО СОТРУДНИЧЕСТВА30.11.2009	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 10.02.2012
ЛАБЕЦКИЙ АЛЕКСЕЙ КАЗИМИРОВИЧ 12.11.1957	ЛАТИНОАМЕРИКАНСКИЙ ДЕПАРТАМЕНТ 14.05.2010 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 25.12.2006
ЛАВРОВ АРКАДИЙ ИВАНОВИЧ 09.12.1947	ПОСОЛЬСТВО РОССИИ В КНДР 21.06.2011 09.12.2012	СТАРШИЙ СОВЕТНИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 23.01.2004
ЛАЗАРЕВ ВЛАДИМИР ВЛАДИМИРОВИЧ 14.06.1950	ГЕНКОНСУЛЬСТВО РОССИИ В КАЛЬКУТТЕ, ИНДИЯ 19.06.2006 18.12.2011	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 28.09.1999
