Фамилия Имя Отчество Дата рождения	Текущее подразделение 	Текущая должность	Дипранг
КАРАСИН ГРИГОРИЙ БОРИСОВИЧ 23.08.1949	 РУКОВОДСТВО 19.10.2005 	СТАТС-СЕКРЕТАРЬ-ЗАМ.МИНИСТРА ИН.ДЕЛ РФ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 02.03.1995
КАРЛОВ АНДРЕЙ ГЕННАДЬЕВИЧ 04.02.1954	КОНСУЛЬСКИЙ ДЕПАРТАМЕНТ 16.02.2010 	ДИРЕКТОР ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 22.03.2011
КАРПУШИН АЛЕКСАНДР РОМАНОВИЧ 16.04.1949	УПРАВЛЕНИЕ ДЕЛАМИ (ДЕПАРТАМЕНТ) 24.01.2011 	ДИРЕКТОР ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 20.11.2009
КЕЛИН  АНДРЕЙ ВЛАДИМИРОВИЧ 15.05.1957	ПОСТПРЕДСТВО РОССИИ ПРИ ОБСЕ В ВЕНЕ, АВСТРИЯ 07.06.2011 	ПОСТОЯННЫЙ ПРЕДСТАВИТЕЛЬ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 14.11.2012
КЕМАРСКИЙ АНДРЕЙ ВАДИМОВИЧ 29.11.1955	ПОСОЛЬСТВО РОССИИ В МОЗАМБИКЕ 27.08.2010 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 14.12.2012
КИРПИЧЕНКО СЕРГЕЙ ВАДИМОВИЧ 13.08.1951	ПОСОЛЬСТВО РОССИИ В АРЕ 07.09.2011 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 06.02.2007
КИСЕЛЕВ СЕРГЕЙ БОРИСОВИЧ 16.10.1947	ПОСОЛЬСТВО РОССИИ В ЧЕХИИ 30.08.2010 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 05.05.1999
КИСЛЯК СЕРГЕЙ ИВАНОВИЧ 07.09.1950	ПОСОЛЬСТВО РОССИИ В США 26.07.2008 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 18.07.1995
КЛИМЕНКО АНАТОЛИЙ ИВАНОВИЧ 12.11.1947	ПОСОЛЬСТВО РОССИИ В ДЕМ.РЕСПУБЛИКЕ КОНГО (КИНШАСА)  27.08.2008 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 21.05.2010
КОВАЛЕНКО ВЯЧЕСЛАВ ЕВГЕНЬЕВИЧ 27.03.1946	ПОСОЛЬСТВО РОССИИ В АРМЕНИИ 08.07.2009 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 25.10.2008
КОЛОДКИН РОМАН АНАТОЛЬЕВИЧ 29.07.1960	ПОСОЛЬСТВО РОССИИ В НИДЕРЛАНДАХ 05.11.2009 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 21.10.2010
КОНДРАШЕВ ИГОРЬ СЕРГЕЕВИЧ 13.10.1948	ПОСОЛЬСТВО РОССИИ В НИКАРАГУА 29.11.2005 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 17.01.2011
КОНУЗИН АЛЕКСАНДР ВАСИЛЬЕВИЧ 25.12.1947	ПОСОЛЬСТВО РОССИИ В СЕРБИИ 27.03.2008 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 11.03.2009
КОРСУН АНАТОЛИЙ НИКОЛАЕВИЧ 19.10.1947	ПОСОЛЬСТВО РОССИИ В БОТСВАНЕ 29.02.2008 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 14.11.2012
КОРЧАГИН ЮРИЙ ПЕТРОВИЧ 28.12.1950	ПОСОЛЬСТВО РОССИИ В ИСПАНИИ 20.02.2012	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 24.01.2008
КРАМАРЕНКО АЛЕКСАНДР МИХАЙЛОВИЧ 15.03.1952	ПОСОЛЬСТВО РОССИИ В ВЕЛИКОБРИТАНИИ 17.07.2011 16.07.2014	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 23.04.2008
КУЗНЕЦОВ АЛЕКСАНДР ИГОРЕВИЧ 18.10.1951			ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 12.07.2004
КУЗЬМИН ВАЛЕРИЙ ИВАНОВИЧ 24.06.1953			ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 17.11.2009
КУЛЬМУХАМЕТОВ АЗАМАТ РАХМЕТОВИЧ  06.08.1953	ПОСОЛЬСТВО РОССИИ В СИРИИ 07.09.2011	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 01.05.2012
КУШАКОВ АНДРЕЙ АНАТОЛЬЕВИЧ 20.05.1952	ПОСОЛЬСТВО РОССИИ В ЗИМБАБВЕ 15.12.2010 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 06.09.2011
ЛАВРОВ СЕРГЕЙ ВИКТОРОВИЧ 21.03.1950	 РУКОВОДСТВО 09.03.2004 	МИНИСТР ИНОСТРАННЫХ ДЕЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 05.06.1992
ЛУКОВ ВАДИМ БОРИСОВИЧ 30.06.1953	ГРУППА ПОСЛОВ ПО ОСОБЫМ ПОРУЧЕНИЯМ МИД РФ 14.12.2009 	ПОСОЛ ПО ОСОБЫМ ПОРУЧЕНИЯМ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 30.04.2003
ЛУНЬКОВ НИКОЛАЙ МИТРОФАНОВИЧ 07.01.1919	ГРУППА ВНЕШТАТНЫХ КОНСУЛЬТАНТОВ 01.04.1992 	ВНЕШТАТНЫЙ КОНСУЛЬТАНТ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 18.01.1962
ЛЯКИН-ФРОЛОВ ИГОРЬ СЕМЕНОВИЧ 10.09.1948	ГРУППА ПОСЛОВ ПО ОСОБЫМ ПОРУЧЕНИЯМ МИД РФ 01.07.2010 	ПОСОЛ ПО ОСОБЫМ ПОРУЧЕНИЯМ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 29.12.2005
МАКАРЕНКО АЛЕКСАНДР МИХАЙЛОВИЧ 28.08.1949	ПОСОЛЬСТВО РОССИИ В КЕНИИ 23.12.2010 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 18.02.2002
МАКАРОВ АНАТОЛИЙ АНАТОЛЬЕВИЧ 31.10.1951	ПОСОЛЬСТВО РОССИИ В ЮАР 21.07.2006 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 27.07.2004
МАЛАЯН ЭДУАРД РУБЕНОВИЧ 03.09.1947	ГРУППА ПОСЛОВ ПО ОСОБЫМ ПОРУЧЕНИЯМ МИД РФ 12.10.2009 	ПОСОЛ ПО ОСОБЫМ ПОРУЧЕНИЯМ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 14.11.2007
МАМЕДОВ ГЕОРГИЙ ЭНВЕРОВИЧ 09.09.1947	ПОСОЛЬСТВО РОССИИ В КАНАДЕ 15.06.2003 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 05.06.1992
МАРКАРЯН РОБЕРТ ВАРТАНОВИЧ 20.04.1949	ПОСОЛЬСТВО РОССИИ В ХОРВАТИИ 23.07.2009 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 15.11.1999
МАРЬЯСОВ АЛЕКСАНДР ГЕОРГИЕВИЧ 26.07.1947	ПОСОЛЬСТВО РОССИИ В ТАИЛАНДЕ 03.02.2010 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 13.11.2007
МГЕЛАДЗЕ МИХАИЛ МИХАЙЛОВИЧ 02.04.1948	ПОСОЛЬСТВО РОССИИ В МЬЯНМЕ 11.10.2006	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 01.05.2012
МЕРЗЛЯКОВ ЮРИЙ НИКОЛАЕВИЧ 09.04.1949	ПОСОЛЬСТВО РОССИИ В ЭСТОНИИ 14.07.2010 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 27.04.2000
МЕШКОВ АЛЕКСЕЙ ЮРЬЕВИЧ  22.08.1959	ПОСОЛЬСТВО РОССИИ В ИТАЛИИ 11.02.2004 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 28.12.2004
МИТРОФАНОВА ЭЛЕОНОРА ВАЛЕНТИНОВНА 11.06.1953	ПОСТПРЕДСТВО РОССИИ ПРИ ЮНЕСКО В ПАРИЖЕ, ФРАНЦИЯ   28.01.2009 	ПОСТОЯННЫЙ ПРЕДСТАВИТЕЛЬ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 09.02.2010
МИХАЙЛОВ ЕВГЕНИЙ НИКОЛАЕВИЧ 18.01.1947	ГРУППА ПОСЛОВ ПО ОСОБЫМ ПОРУЧЕНИЯМ МИД РФ 18.01.2007 	ПОСОЛ ПО ОСОБЫМ ПОРУЧЕНИЯМ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 20.07.1994
МОИСЕЕВ ЛЕОНИД ПЕТРОВИЧ 16.01.1948	ГРУППА ПОСЛОВ ПО ОСОБЫМ ПОРУЧЕНИЯМ МИД РФ 16.01.2008 	ПОСОЛ ПО ОСОБЫМ ПОРУЧЕНИЯМ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 20.08.2004
МОРГУЛОВ ИГОРЬ ВЛАДИМИРОВИЧ 04.05.1961	РУКОВОДСТВО 22.11.2011	ЗАМ.МИНИСТРА ИНОСТРАННЫХ ДЕЛ РОССИИ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 01.05.2012
МОРОЗОВ ВАЛЕРИЙ ИВАНОВИЧ 19.09.1945	ПОСОЛЬСТВО РОССИИ В МЕКСИКЕ 09.08.2005 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 20.04.2002
МОРОЗОВ ВЛАДИМИР НИКОЛАЕВИЧ 25.08.1949	ПОСОЛЬСТВО РОССИИ В АВСТРАЛИИ 29.06.2010 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 28.11.2007
МУХАМЕТШИН ФАРИТ МУБАРАКШЕВИЧ	ПОСОЛЬСТВО РОССИИ В МОЛДАВИИ 05.04.2012	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ
НЕВЕРОВ ИГОРЬ СВЯТОСЛАВОВИЧ 20.06.1956	ПОСОЛЬСТВО РОССИИ В ШВЕЦИИ 04.09.2009 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 28.07.2008
НЕНАШЕВ СЕРГЕЙ ВАСИЛЬЕВИЧ 24.03.1947	ПОСОЛЬСТВО РОССИИ В АНГОЛЕ 20.10.2007 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 09.02.2010
НЕСТЕРЕНКО АНДРЕЙ АЛЕКСЕЕВИЧ 03.05.1955	ПОСОЛЬСТВО РОССИИ В ЧЕРНОГОРИИ 30.03.2011 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 15.07.2005
НЕСТЕРУШКИН ВАЛЕРИЙ МИХАЙЛОВИЧ 28.04.1949	ПОСОЛЬСТВО РОССИИ В СЕНЕГАЛЕ 19.04.2010 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 14.07.2009
НЕЧАЕВ СЕРГЕЙ ЮРЬЕВИЧ  02.06.1953	ПОСОЛЬСТВО РОССИИ В АВСТРИИ 08.04.2010	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 10.02.2012
ОБУХОВ АЛЕКСЕЙ АЛЕКСАНДРОВИЧ 12.11.1937	ВТОРОЙ ЕВРОПЕЙСКИЙ ДЕПАРТАМЕНТ 01.08.2007 	ЭКСПЕРТ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 05.02.1985
ОРЛОВ АЛЕКСАНДР КОНСТАНТИНОВИЧ 17.03.1948	ПОСОЛЬСТВО РОССИИ ВО ФРАНЦИИ 14.10.2008 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 20.07.2005
ОРЛОВ  ВАЛЕРИЙ ЯКОВЛЕВИЧ 26.07.1947	ПОСОЛЬСТВО РОССИИ В ДЖИБУТИ 20.01.2009 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 04.11.2011
ОРЛОВЕЦ МИХАИЛ ИВАНОВИЧ 08.06.1950	ПОСОЛЬСТВО РОССИИ В ЧИЛИ 26.07.2011 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 11.02.2008
ОСАДЧИЙ СТАНИСЛАВ ВИЛИОРОВИЧ 26.01.1951	ДЕПАРТАМЕНТ БЕЗОПАСНОСТИ 27.01.2011 	ДИРЕКТОР ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 12.07.2004
ПАВЛОВСКИЙ ВЯЧЕСЛАВ АЛЬФРЕДОВИЧ 30.08.1956	ПОСОЛЬСТВО РОССИИ В НОРВЕГИИ 20.07.2010 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 24.10.2008
ПЕТРОВСКИЙ ПАВЕЛ ФЕДОРОВИЧ 02.07.1947	ПОСОЛЬСТВО РОССИИ В ПОРТУГАЛИИ 26.05.2006 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 20.04.2002
ПЕШКОВ МАКСИМ АЛЕКСАНДРОВИЧ 30.06.1950	ПОСОЛЬСТВО РОССИИ В ИРЛАНДИИ 20.02.2012	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 05.03.2005
ПОПОВ ЮРИЙ ФЕДОРОВИЧ 25.06.1954	ПОСОЛЬСТВО РОССИИ В ТАДЖИКИСТАНЕ 06.03.2009 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 22.03.2011
ПРЫГИН ВЛАДИМИР ИВАНОВИЧ  13.01.1948	ПОСОЛЬСТВО РОССИИ В ЧАДЕ 14.01.2010	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 01.05.2012
РАЗОВ СЕРГЕЙ СЕРГЕЕВИЧ 28.01.1953	ПОСОЛЬСТВО РОССИИ В КНР 19.08.2005 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 24.01.1992
РАМИШВИЛИ ТЕЙМУРАЗ ОТАРОВИЧ 04.05.1955	ПОСОЛЬСТВО РОССИИ В ДАНИИ 02.11.2007 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 28.01.2004
РАННИХ АЛЕКСАНДР АЛЕКСАНДРОВИЧ 25.07.1949	ПОСОЛЬСТВО РОССИИ В ТАНЗАНИИ 27.08.2010 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 06.08.1992
РОЖКОВ АНДРЕЙ НИКОЛАЕВИЧ 05.11.1944	ПОСОЛЬСТВО РОССИИ В СИНГАПУРЕ 26.06.2005 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 23.04.2008
РОМАНОВ АЛЕКСАНДР АЛЕКСАНДРОВИЧ 29.11.1950	ПОСОЛЬСТВО РОССИИ В БЕЛЬГИИ 19.11.2009 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 11.02.2008
РОМАНОВ ЮРИЙ АЛЕКСАНДРОВИЧ 13.12.1945 	ПОСОЛЬСТВО РОССИИ В КОНГО (БРАЗЗАВИЛЬ) 15.10.2009	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 10.02.2012
РУМЯНЦЕВ АЛЕКСАНДР ЮРЬЕВИЧ 26.07.1945	ПОСОЛЬСТВО РОССИИ В ФИНЛЯНДИИ 24.05.2006 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 23.04.2008
РЯБКОВ СЕРГЕЙ АЛЕКСЕЕВИЧ 08.07.1960	 РУКОВОДСТВО 15.08.2008 	ЗАМ.МИНИСТРА ИНОСТРАННЫХ ДЕЛ РОССИИ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 04.03.2009
САДОВНИКОВ АЛЕКСАНДР АЛЕКСЕЕВИЧ 29.10.1948			ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 29.08.2007
САДЧИКОВ НИКОЛАЙ ИВАНОВИЧ 20.03.1946	ПОСОЛЬСТВО РОССИИ В ВАТИКАНЕ 26.08.2005 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 20.09.2003
САМОЙЛЕНКО ВИКТОР ВАСИЛЬЕВИЧ 02.03.1947	ПОСОЛЬСТВО РОССИИ В МОНГОЛИИ 21.09.2009 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 25.10.2010
СЕРАФИМОВ ВАДИМ ВИКТОРОВИЧ 29.08.1949	ТРЕТИЙ ДЕПАРТАМЕНТ АЗИИ 08.02.2010 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 18.08.2006
СОЛОЦИНСКИЙ ВЛАДИМИР ДМИТРИЕВИЧ 25.09.1948	РОТАЦИОННЫЙ РЕЗЕРВ 16.05.2011 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 17.12.2008
СУРИКОВ АЛЕКСАНДР АЛЕКСАНДРОВИЧ 15.08.1940	ПОСОЛЬСТВО РОССИИ В БЕЛОРУССИИ 28.02.2006 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 12.04.2010
СУХИНИН ВАЛЕРИЙ ЕВГЕНЬЕВИЧ 16.01.1950	ПОСОЛЬСТВО РОССИИ В КНДР 02.02.2007 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 25.10.2010
