Фамилия Имя Отчество Дата рождения	Текущее подразделение 	Текущая должность	Дипранг
ШЕИН АЛЕКСАНДР ПЕТРОВИЧ 19.03.1952	ПОСОЛЬСТВО РОССИИ В ТУНИСЕ 14.01.2011	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 10.02.2012
ШИШКИН СЕРГЕЙ НИКОЛАЕВИЧ 15.02.1950	ПОСОЛЬСТВО РОССИИ В УГАНДЕ 14.10.2008 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 30.07.2012
ШМАГИН ЕВГЕНИЙ АЛЕКСЕЕВИЧ 30.12.1949	ГЕНКОНСУЛЬСТВО РОССИИ В БОННЕ, ФРГ 08.06.2010 07.06.2013	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 10.11.2005
ШУВАЕВ ВАЛЕРЬЯН ВЛАДИМИРОВИЧ 16.03.1955	ПОСОЛЬСТВО РОССИИ В ИРАКЕ 16.10.2008 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 21.05.2010
ШУВАЛОВ КОНСТАНТИН ВИКТОРОВИЧ 12.12.1953	ГРУППА ПОСЛОВ ПО ОСОБЫМ ПОРУЧЕНИЯМ МИД РФ 14.09.2009 	ПОСОЛ ПО ОСОБЫМ ПОРУЧЕНИЯМ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 02.07.2003
ШУЛЬГИН АЛЕКСАНДР ВАСИЛЬЕВИЧ 29.03.1951	ПОСОЛЬСТВО РОССИИ В ЛЮКСЕМБУРГЕ 30.10.2009 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 06.03.2007
ШУМСКИЙ ВЯЧЕСЛАВ ДМИТРИЕВИЧ 27.08.1950	ПОСОЛЬСТВО РОССИИ НА КИПРЕ 11.09.2008 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 09.02.2010
ЩЕРБАК ИГОРЬ НИКОЛАЕВИЧ 12.05.1947	ДЕПАРТАМЕНТ МЕЖДУНАРОДНЫХ ОРГАНИЗАЦИЙ 04.05.2010 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 16.07.2009
ЩЕРБАК ОЛЕГ НИКОЛАЕВИЧ 12.04.1950	ПОСОЛЬСТВО РОССИИ В МАКЕДОНИИ 17.11.2010 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 01.06.2009
ЯКОВЕНКО АЛЕКСАНДР ВЛАДИМИРОВИЧ 21.10.1954	ПОСОЛЬСТВО РОССИИ В ВЕЛИКОБРИТАНИИ 24.01.2011 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 13.07.2004
ЯКОВЛЕВ СЕРГЕЙ ЯКОВЛЕВИЧ 24.01.1948	ПОСОЛЬСТВО РОССИИ В ИЗРАИЛЕ 08.07.2011 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ 28.11.2007
